artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
Emil Gilels/Orchestre de la SociÃÂ©tÃÂ© des Concerts du Conservatoire/AndrÃÂ© Cluytens,Logged In,Sara,F,83,Johnson,375.19628,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto,200,2018-11-14 00:47:28.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
Modwheelmood,Logged In,Sara,F,84,Johnson,209.71057,paid,"Winston-Salem, NC",PUT,NextSong,1540809153796,411,Sunday Morning,200,2018-11-14 00:53:43.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
,Logged In,Sara,F,85,Johnson,,paid,"Winston-Salem, NC",GET,Home,1540809153796,411,,200,2018-11-14 00:54:22.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
,Logged In,Sara,F,86,Johnson,,paid,"Winston-Salem, NC",GET,About,1540809153796,411,,200,2018-11-14 00:57:28.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
,Logged In,Sara,F,87,Johnson,,paid,"Winston-Salem, NC",GET,Home,1540809153796,411,,200,2018-11-14 00:59:42.796,"""Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53""",95
,Logged In,Mohammad,M,0,Rodriguez,,free,"Sacramento--Roseville--Arden-Arcade, CA",GET,Home,1540511766796,539,,200,2018-11-14 02:35:14.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",88
John Mayer,Logged In,Tegan,F,0,Levine,201.16853,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Waiting On The World To Change,200,2018-11-14 02:57:45.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Ten Years After,Logged In,Tegan,F,1,Levine,122.3571,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Two Time Mama (2004 Digital Remaster),200,2018-11-14 03:01:06.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Mudcrutch,Logged In,Tegan,F,2,Levine,208.03873000000002,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Six Days On The Road (Album Version),200,2018-11-14 03:03:08.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Alaska Y Dinarama,Logged In,Tegan,F,3,Levine,180.37506000000002,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Ni TÃÂº Ni Nadie (VersiÃÂ³n Demo),200,2018-11-14 03:06:36.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Kicking K8,Logged In,Tegan,F,4,Levine,176.48281,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Liar,200,2018-11-14 03:09:36.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Badly Drawn Boy,Logged In,Tegan,F,5,Levine,318.51057000000003,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,The Shining,200,2018-11-14 03:12:32.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
,Logged In,Tegan,F,6,Levine,,paid,"Portland-South Portland, ME",GET,Home,1540794356796,548,,200,2018-11-14 03:13:19.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Disturbed,Logged In,Tegan,F,7,Levine,247.09179,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Pain Redefined (Album Version),200,2018-11-14 03:17:50.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Phoenix,Logged In,Tegan,F,8,Levine,278.80444,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Armistice,200,2018-11-14 03:21:57.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Margaret Becker,Logged In,Tegan,F,9,Levine,251.84607999999997,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,The Hunger Stays,200,2018-11-14 03:26:35.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Lady GaGa,Logged In,Tegan,F,10,Levine,220.65587000000002,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Teeth,200,2018-11-14 03:30:46.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Corinne Bailey Rae,Logged In,Tegan,F,11,Levine,206.18403999999998,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Trouble Sleeping,200,2018-11-14 03:34:26.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Royksopp,Logged In,Tegan,F,12,Levine,303.62077,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Miss It So Much,200,2018-11-14 03:37:52.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Apocalyptica,Logged In,Tegan,F,13,Levine,221.07383,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Enter Sandman,200,2018-11-14 03:42:55.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Usher featuring will.i.am,Logged In,Tegan,F,14,Levine,395.72853,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,OMG,200,2018-11-14 03:46:36.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
,Logged In,Alivia,F,0,Terrell,,free,"Parkersburg-Vienna, WV",GET,Home,1540505391796,3,,200,2018-11-14 03:47:57.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",4
The Killers,Logged In,Alivia,F,1,Terrell,246.80444,free,"Parkersburg-Vienna, WV",PUT,NextSong,1540505391796,3,Read My Mind,200,2018-11-14 03:48:03.796,"""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",4
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Logged In,Tegan,F,15,Levine,277.15873,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),200,2018-11-14 03:53:11.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Interpol,Logged In,Tegan,F,16,Levine,487.67955,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Public Pervert,200,2018-11-14 03:57:48.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Clay Walker,Logged In,Tegan,F,17,Levine,167.99302,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,What's It To You (Album Version),200,2018-11-14 04:05:55.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
DMX,Logged In,Tegan,F,18,Levine,259.65668999999997,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,One More Road To Cross,200,2018-11-14 04:08:42.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Dakota Oak,Logged In,Tegan,F,19,Levine,45.635459999999995,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Baker's Blue Jay Yarn,200,2018-11-14 04:13:01.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Coldplay,Logged In,Tegan,F,20,Levine,268.30322,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Yellow,200,2018-11-14 04:13:46.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Deadmau5,Logged In,Tegan,F,21,Levine,521.19465,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Faxing Berlin,200,2018-11-14 04:18:14.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Shaggy / Ricardo Ducent,Logged In,Tegan,F,22,Levine,226.76852999999997,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,It Wasn't Me,200,2018-11-14 04:26:55.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
R.E.M.,Logged In,Tegan,F,23,Levine,202.4224,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Talk About The Passion,200,2018-11-14 04:30:41.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Michelle Shocked,Logged In,Tegan,F,24,Levine,217.83465,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Quality Of Mercy,200,2018-11-14 04:34:03.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Cradle Of Filth,Logged In,Tegan,F,25,Levine,371.66975,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Better To Reign In Hell,200,2018-11-14 04:37:40.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Bond,Logged In,Tegan,F,26,Levine,210.9122,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Scorchio,200,2018-11-14 04:43:51.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
,Logged In,Sylvie,F,0,Cruz,,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",GET,Home,1540266185796,484,,200,2018-11-14 04:46:13.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
Vieja Trova Santiaguera,Logged In,Tegan,F,27,Levine,222.58892999999998,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Cuida Eso,200,2018-11-14 04:47:21.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Jonas Brothers,Logged In,Tegan,F,28,Levine,153.46893,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,S.O.S.,200,2018-11-14 04:51:03.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
KC And The Sunshine Band,Logged In,Sylvie,F,1,Cruz,301.03465,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540266185796,484,Get Down Tonight (Miami Mix),200,2018-11-14 04:53:36.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
Alejandro Sanz,Logged In,Tegan,F,29,Levine,277.44608,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Te lo agradezco_ pero no,200,2018-11-14 04:53:36.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Bleeding Through,Logged In,Tegan,F,30,Levine,171.67628,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,The Truth (Sick Of It All Cover Version),200,2018-11-14 04:58:13.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Eminem,Logged In,Sylvie,F,2,Cruz,323.49995,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540266185796,484,Criminal,200,2018-11-14 04:58:37.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
MoZella,Logged In,Tegan,F,31,Levine,203.41506,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,You Wanted It (Album Version),200,2018-11-14 05:01:04.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
,Logged In,Tegan,F,32,Levine,,paid,"Portland-South Portland, ME",GET,Downgrade,1540794356796,548,,200,2018-11-14 05:03:53.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Laurel & Hardy,Logged In,Sylvie,F,3,Cruz,123.71546000000001,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540266185796,484,At the Ball_ That's All,200,2018-11-14 05:04:00.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
Jack's Mannequin,Logged In,Tegan,F,33,Levine,194.89914,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,The Mixed Tape (Album Version),200,2018-11-14 05:04:27.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Percubaba,Logged In,Sylvie,F,4,Cruz,124.78648999999999,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540266185796,484,Intro,200,2018-11-14 05:06:03.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
Eagles,Logged In,Tegan,F,34,Levine,241.78893,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Take The Devil (LP Version),200,2018-11-14 05:07:41.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Rilo Kiley,Logged In,Sylvie,F,5,Cruz,322.42893,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540266185796,484,A Man/Me/Then Jim (Album Version),200,2018-11-14 05:08:07.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
Rise Against,Logged In,Tegan,F,35,Levine,245.96853,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Audience Of One,200,2018-11-14 05:11:42.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Watain,Logged In,Sylvie,F,6,Cruz,303.25506,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540266185796,484,Sworn To The Dark,200,2018-11-14 05:13:29.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
Nickel Creek,Logged In,Tegan,F,36,Levine,187.55873,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Scotch & Chocolate,200,2018-11-14 05:15:47.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Ricardo Arjona,Logged In,Sylvie,F,7,Cruz,210.25914,free,"Washington-Arlington-Alexandria, DC-VA-MD-WV",PUT,NextSong,1540266185796,484,Como Duele (Album),200,2018-11-14 05:18:32.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.77.4 (KHTML, like Gecko) Version/7.0.5 Safari/537.77.4""",10
Sherwood,Logged In,Tegan,F,37,Levine,122.77506000000001,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,The last to know,200,2018-11-14 05:18:54.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
,Logged In,Tegan,F,38,Levine,,paid,"Portland-South Portland, ME",GET,Help,1540794356796,548,,200,2018-11-14 05:27:07.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
,Logged In,Tegan,F,39,Levine,,paid,"Portland-South Portland, ME",GET,Help,1540794356796,548,,200,2018-11-14 05:28:49.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Gordon Lightfoot,Logged In,Tegan,F,40,Levine,172.61668999999998,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Steel Rail Blues,200,2018-11-14 05:32:07.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
The Temper Trap,Logged In,Tegan,F,41,Levine,192.67873,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Fader,200,2018-11-14 05:34:59.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Moby,Logged In,Tegan,F,42,Levine,228.25751,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,South Side,200,2018-11-14 05:38:11.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Toby Keith,Logged In,Tegan,F,43,Levine,207.46403999999998,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,How Do You Like Me Now?!,200,2018-11-14 05:41:59.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Joe Vasconcellos,Logged In,Tegan,F,44,Levine,255.92118,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Me Demoro (vivo),200,2018-11-14 05:45:26.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
Mike Jones,Logged In,Tegan,F,45,Levine,222.58892999999998,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,Next To You   (Explicit Album Version),200,2018-11-14 05:49:41.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
MercyME,Logged In,Tegan,F,46,Levine,257.51465,paid,"Portland-South Portland, ME",PUT,NextSong,1540794356796,548,In You,200,2018-11-14 05:53:23.796,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36""",80
,Logged In,Lily,F,0,Cooper,,free,"Columbia, SC",GET,Home,1541058203796,58,,200,2018-11-14 05:54:59.796,"""Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",59
,Logged In,Lily,F,1,Cooper,,free,"Columbia, SC",PUT,Logout,1541058203796,58,,307,2018-11-14 05:55:00.796,"""Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36""",59
,Logged Out,,,2,,,free,,GET,Home,0,58,,200,2018-11-14 05:55:03.796,,0
,Logged Out,,,3,,,free,,GET,Home,0,58,,200,2018-11-14 05:55:41.796,,0
,Logged Out,,,4,,,free,,PUT,Login,0,58,,307,2018-11-14 05:55:42.796,,0
