"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId"
"Cream","Colm","M","6","Santana","166.5824","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Strange Brew","67"
"Coldplay","Colm","M","7","Santana","284.39465","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","A Message","67"
"Cute Is What We Aim For","Colm","M","8","Santana","172.22485","free","Nashville-Davidson--Murfreesboro--Franklin, TN","414","Sweat the Battle Before the Battle Sweats You (Album Version)","67"
"Metallica","Connar","M","0","Moreno","256.9922","free","Houston-The Woodlands-Sugar Land, TX","218","Of Wolf And Man","62"
"The Kills","Connar","M","1","Moreno","217.70404","free","Houston-The Woodlands-Sugar Land, TX","218","Tape Song","62"
"Foo Fighters","Connar","M","2","Moreno","271.38567","free","Houston-The Woodlands-Sugar Land, TX","218","The Pretender","62"
"Plaid","Connar","M","3","Moreno","260.96281","free","Houston-The Woodlands-Sugar Land, TX","218","Eyen [Chosen by fans on Warp20.net]","62"
"The Van Pelt","Theodore","M","1","Harris","208.71791","free","Red Bluff, CA","462","It's New To Me","14"
"44","Ryan","M","1","Smith","224.57424","free","San Jose-Sunnyvale-Santa Clara, CA","472","Make You Smile","26"
"Chris Brown","Rylan","M","1","George","275.1473","free","Birmingham-Hoover, AL","446","I May Never Find","16"
"KT Tunstall","Ryan","M","2","Smith","170.47465","free","San Jose-Sunnyvale-Santa Clara, CA","472","Black Horse And The Cherry Tree (Radio Version)","26"
"Cascada","Rylan","M","2","George","184.39791","free","Birmingham-Hoover, AL","446","Kids In America","16"
"Incubus","Ryan","M","3","Smith","293.38077","free","San Jose-Sunnyvale-Santa Clara, CA","472","Black Heart Inertia","26"
"Miike Snow","Tegan","F","1","Levine","220.83873","paid","Portland-South Portland, ME","435","Black & Blue","80"
"Cartola","Tegan","F","2","Levine","208.92689","paid","Portland-South Portland, ME","435","Sala De RecepÃÂ§ÃÂ£o","80"
"Kill The Client","Tegan","F","3","Levine","70.68689","paid","Portland-South Portland, ME","435","Commander In Thief","80"
"Wolfmother","Tegan","F","5","Levine","175.82975","paid","Portland-South Portland, ME","435","Woman","80"
"Old Crow Medicine Show","Tegan","F","6","Levine","231.73179","paid","Portland-South Portland, ME","435","Wagon Wheel","80"
"Architecture In Helsinki","Tegan","F","7","Levine","173.73995","paid","Portland-South Portland, ME","435","Debbie","80"
"Charlie Louvin","Tegan","F","8","Levine","170.86649","paid","Portland-South Portland, ME","435","I Think I'll Live","80"
"Miguel Morales","Tegan","F","9","Levine","270.78485","paid","Portland-South Portland, ME","435","La Derrota de Un Don Juan","80"
"Dominique A","Tegan","F","10","Levine","153.20771","paid","Portland-South Portland, ME","435","Le Courage Des Oiseaux","80"
"Cock Sparrer","Tegan","F","11","Levine","203.25832","paid","Portland-South Portland, ME","435","Run With The Blind","80"
"Jimmy Wakely","Tegan","F","12","Levine","165.74649","paid","Portland-South Portland, ME","435","I Love You So Much It Hurts","80"
"Peter Doherty","Tegan","F","13","Levine","217.02485","paid","Portland-South Portland, ME","435","A Little Death Around the Eyes","80"
"Katy Perry","Tegan","F","14","Levine","246.41261","paid","Portland-South Portland, ME","435","Thinking Of You","80"
"Sidewalk Prophets","Molly","F","0","Taylor","260.62322","free","St. Louis, MO-IL","464","You Love Me Anyway (Album)","35"
"Rise Against","Molly","F","1","Taylor","221.17832","free","St. Louis, MO-IL","464","Torches","35"
"K'Naan","Molly","F","2","Taylor","220.49914","free","St. Louis, MO-IL","464","Wavin'  Flag","35"
"Patrick Jumpen","Ryan","M","0","Smith","208.87465","free","San Jose-Sunnyvale-Santa Clara, CA","480","Holiday","26"
"Alicia Keys","Ryan","M","1","Smith","216.47628","free","San Jose-Sunnyvale-Santa Clara, CA","480","Empire State Of Mind (Part II) Broken Down","26"
