"artist","firstName","gender","itemInSession","lastName","length","level","location","sessionId","song","userId","ts"
"Edward Sharpe & The Magnetic Zeros","Jayden","M","40","Graves","306.31138","paid","Marinette, WI-MI","128","Home","25","1.54132E+12"
"Anberlin","Aleena","F","0","Kirby","258.42893","paid","Waterloo-Cedar Falls, IA","196","Dismantle. Repair.","44","1.54132E+12"
"L-7","Aleena","F","2","Kirby","168.56771","paid","Waterloo-Cedar Falls, IA","196","Shitlist","44","1.54132E+12"
"Future Of The Left","Aleena","F","4","Kirby","112.63955","paid","Waterloo-Cedar Falls, IA","196","Fingers Become Thumbs","44","1.54132E+12"
"Franz Ferdinand","Aleena","F","5","Kirby","206.28853","paid","Waterloo-Cedar Falls, IA","196","Call Me","44","1.54132E+12"
"Travie McCoy","Aleena","F","6","Kirby","211.12118","paid","Waterloo-Cedar Falls, IA","196","Billionaire [feat. Bruno Mars]  (Explicit Album Version)","44","1.54132E+12"
"Lily Allen","Aleena","F","7","Kirby","194.76853","paid","Waterloo-Cedar Falls, IA","196","Smile","44","1.54132E+12"
"Rancid","Aleena","F","8","Kirby","223.65995","paid","Waterloo-Cedar Falls, IA","196","Fall Back Down (Album Version)","44","1.54132E+12"
"Katy Perry","Aleena","F","9","Kirby","228.49261","paid","Waterloo-Cedar Falls, IA","196","I'm Still Breathing","44","1.54132E+12"
"Freestylers","Aleena","F","10","Kirby","340.06159","paid","Waterloo-Cedar Falls, IA","196","Punks (Krafty Kuts Remix)","44","1.54132E+12"
"Kid Rock","Rylan","M","1","George","296.95955","free","Birmingham-Hoover, AL","15","All Summer Long (Album Version)","16","1.54133E+12"
"LITE","Aleena","F","11","Kirby","248.08444","paid","Waterloo-Cedar Falls, IA","196","On A Gloomy Evening","44","1.54133E+12"
"The Killers","Rylan","M","2","George","220.89098","free","Birmingham-Hoover, AL","15","When You Were Young","16","1.54133E+12"
"Hymie's Basement","Aleena","F","12","Kirby","175.38567","paid","Waterloo-Cedar Falls, IA","196","Ghost Dream","44","1.54133E+12"
"Pavement","Aleena","F","13","Kirby","195.73506","paid","Waterloo-Cedar Falls, IA","196","Rooftop Gambler","44","1.54133E+12"
"Trey Songz","Rylan","M","3","George","205.81832","free","Birmingham-Hoover, AL","15","Can't Help But Wait (Album Version)","16","1.54133E+12"
"Shakira","Aleena","F","14","Kirby","159.05914","paid","Waterloo-Cedar Falls, IA","196","La Pared","44","1.54133E+12"
"Billy J Kramer & The Dakotas","Rylan","M","4","George","191.32036","free","Birmingham-Hoover, AL","15","Tennessee Waltz (Live)","16","1.54133E+12"
"Arctic Monkeys","Aleena","F","15","Kirby","138.10893","paid","Waterloo-Cedar Falls, IA","196","D is for Dangerous","44","1.54133E+12"
"Dashboard Confessional","Rylan","M","5","George","224.54812","free","Birmingham-Hoover, AL","15","Ghost Of A Good Thing","16","1.54133E+12"
"Moby","Aleena","F","18","Kirby","196.75383","paid","Waterloo-Cedar Falls, IA","196","Lift Me Up","44","1.54133E+12"
"Dan Deacon","Aleena","F","19","Kirby","483.89179","paid","Waterloo-Cedar Falls, IA","196","Snookered","44","1.54133E+12"
"Puddle Of Mudd","Aleena","F","20","Kirby","210.80771","paid","Waterloo-Cedar Falls, IA","196","Psycho","44","1.54133E+12"
"Red Hot Chili Peppers","Aleena","F","21","Kirby","334.65424","paid","Waterloo-Cedar Falls, IA","196","Snow [Hey Oh] (Album Version)","44","1.54133E+12"
"The Barbarians","Aleena","F","22","Kirby","149.44608","paid","Waterloo-Cedar Falls, IA","196","Memphis_ Tennessee","44","1.54133E+12"
"Julia Fordham","Aleena","F","23","Kirby","213.44608","paid","Waterloo-Cedar Falls, IA","196","Jump (Live)","44","1.54133E+12"
"Alicia Keys","Aleena","F","24","Kirby","455.52281","paid","Waterloo-Cedar Falls, IA","196","Streets Of New York (City Life)","44","1.54133E+12"
"Regina Spektor","Aleena","F","25","Kirby","247.69261","paid","Waterloo-Cedar Falls, IA","196","Another Town","44","1.54133E+12"
"Deborah Harry & Iggy Pop","Aleena","F","26","Kirby","207.49016","paid","Waterloo-Cedar Falls, IA","196","Well Did You Evah!","44","1.54133E+12"
"Dr. Dre / Eminem / Alvin Joiner","Aleena","F","27","Kirby","244.21832","paid","Waterloo-Cedar Falls, IA","196","What's The Difference","44","1.54133E+12"
"Marcel Woods","Aleena","F","28","Kirby","424.33261","paid","Waterloo-Cedar Falls, IA","196","Advanced (Ton T.B. Mix)","44","1.54133E+12"
"OneRepublic","Aleena","F","29","Kirby","208.14322","paid","Waterloo-Cedar Falls, IA","196","Apologize","44","1.54133E+12"
"Beastie Boys","Aleena","F","30","Kirby","172.22485","paid","Waterloo-Cedar Falls, IA","196","The Maestro","44","1.54133E+12"
"Paramore","Aleena","F","31","Kirby","267.65016","paid","Waterloo-Cedar Falls, IA","196","The Only Exception (Album Version)","44","1.54133E+12"
"Varios","Aleena","F","32","Kirby","204.64281","paid","Waterloo-Cedar Falls, IA","196","Hasta siempre","44","1.54133E+12"
"The Black Keys","Aleena","F","33","Kirby","191.76444","paid","Waterloo-Cedar Falls, IA","196","Howlin For You","44","1.54133E+12"
"Muse","Aleena","F","34","Kirby","198.79138","paid","Waterloo-Cedar Falls, IA","196","Feeling Good","44","1.54133E+12"
"Frankie J","Aleena","F","35","Kirby","254.32771","paid","Waterloo-Cedar Falls, IA","196","Daddy's Little Girl","44","1.54133E+12"
"Kirk Franklin & The Family","Aleena","F","36","Kirby","418.71628","paid","Waterloo-Cedar Falls, IA","196","Now Behold The Lamb","44","1.54133E+12"
"Cooly's Hot Box","Aleena","F","37","Kirby","371.06893","paid","Waterloo-Cedar Falls, IA","196","Make Me Happy","44","1.54133E+12"
"Ron Van Den Beuken","Cecilia","F","0","Owens","506.5922","free","Atlanta-Sandy Springs-Roswell, GA","229","Timeless","6","1.54133E+12"
"Sparks","Aleena","F","38","Kirby","199.02649","paid","Waterloo-Cedar Falls, IA","196","Lost And Found","44","1.54133E+12"
"Regina Spektor","Aleena","F","39","Kirby","191.08526","paid","Waterloo-Cedar Falls, IA","196","The Calculation (Album Version)","44","1.54133E+12"
"Subhumans","Aleena","F","40","Kirby","209.37098","paid","Waterloo-Cedar Falls, IA","196","Rain","44","1.54133E+12"
"Sia","Aleena","F","43","Kirby","302.602","paid","Waterloo-Cedar Falls, IA","196","Beautiful Calm Driving","44","1.54133E+12"
"Shadows Fall","Aleena","F","44","Kirby","178.65098","paid","Waterloo-Cedar Falls, IA","196","Lead Me Home","44","1.54133E+12"
"Eminem / Dr. Dre / 50 Cent","Aleena","F","45","Kirby","297.56036","paid","Waterloo-Cedar Falls, IA","196","Crack A Bottle","44","1.54133E+12"
"Vampire Weekend","Aleena","F","46","Kirby","195.7873","paid","Waterloo-Cedar Falls, IA","196","Oxford Comma (Album)","44","1.54133E+12"
"Eddie Floyd","Lily","F","1","Burns","198.19057","free","New York-Newark-Jersey City, NY-NJ-PA","31","Guess Who","32","1.54134E+12"
"The Swell Season","Sylvie","F","0","Cruz","319.13751","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","220","If You Want Me (Live)","10","1.54134E+12"
"Alex Band","Jordan","F","0","Hicks","238.8371","free","Salinas, CA","145","Tonight (Single Mix)","37","1.54134E+12"
"Nightwish","Sylvie","F","1","Cruz","305.97179","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","220","The Islander","10","1.54134E+12"
"Cartola","Brantley","M","0","West","172.12036","free","Portland-Vancouver-Hillsboro, OR-WA","133","As Rosas NÃÂ£o Falam","28","1.54134E+12"
"Vampire Weekend","Brantley","M","1","West","269.16526","free","Portland-Vancouver-Hillsboro, OR-WA","133","I Think Ur A Contra","28","1.54134E+12"
"Sebadoh","Brantley","M","2","West","210.18077","free","Portland-Vancouver-Hillsboro, OR-WA","133","Hassle","28","1.54134E+12"
"Incubus","Brantley","M","3","West","212.74077","free","Portland-Vancouver-Hillsboro, OR-WA","133","Wish You Were Here","28","1.54134E+12"
"Blue States","Brantley","M","4","West","239.3073","free","Portland-Vancouver-Hillsboro, OR-WA","133","Allies","28","1.54134E+12"
"Octopus Project","Magdalene","F","1","Herman","498.33751","free","Dallas-Fort Worth-Arlington, TX","141","Hypnopaedia","77","1.54134E+12"
"Mike Posner","Jahiem","M","0","Miles","214.7522","free","San Antonio-New Braunfels, TX","228","Cooler Than Me","43","1.54134E+12"
"Alliance Ethnik","Chloe","F","0","Roth","252.21179","free","Indianapolis-Carmel-Anderson, IN","176","ReprÃÂ©sente","78","1.54135E+12"
"Gang Starr/Inspectah Deck","Chloe","F","3","Roth","225.07057","free","Indianapolis-Carmel-Anderson, IN","176","Above The Clouds (Edited)","78","1.54135E+12"
"Was (Not Was)","Braden","M","1","Parker","239.15057","free","Youngstown-Warren-Boardman, OH-PA","164","Shake Your Head","74","1.54135E+12"
"23 Skidoo","Chloe","F","4","Roth","370.88608","free","Indianapolis-Carmel-Anderson, IN","176","Crossfire","78","1.54135E+12"
"Dwight Yoakam","Chloe","F","5","Roth","239.3073","free","Indianapolis-Carmel-Anderson, IN","176","You're The One","78","1.54135E+12"
"Finger Eleven","Adler","M","1","Barrera","259.68281","free","New York-Newark-Jersey City, NY-NJ-PA","198","Obvious Heart","100","1.54135E+12"
"Shaggy","Adler","M","2","Barrera","212.97587","free","New York-Newark-Jersey City, NY-NJ-PA","198","Intoxication","100","1.54135E+12"
"Kid Cudi","Anabelle","F","0","Simpson","227.34322","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","235","Up Up & Away","69","1.54135E+12"
"Klaus Doldinger's Passport","Adler","M","3","Barrera","460.43383","free","New York-Newark-Jersey City, NY-NJ-PA","198","Fairy Tale","100","1.54135E+12"
"Aesop Rock","Anabelle","F","1","Simpson","245.65506","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","235","None Shall Pass (Main)","69","1.54135E+12"
"Salt 'n' Pepa with En Vogue","Bronson","M","0","Harris","296.202","free","Eugene, OR","134","Whatta Man (Salt-N-Pepa Featuring En Vogue) (EP Version)","33","1.54135E+12"
"Tiger Army","Bronson","M","1","Harris","129.38404","free","Eugene, OR","134","Ghost Tigers Rise (Album Version)","33","1.54135E+12"
"NEEDTOBREATHE","Bronson","M","2","Harris","225.82812","free","Eugene, OR","134","Don't Wait For Daylight (Album Version)","33","1.54135E+12"
"Baby Huey & The Baby Sitters","Tegan","F","0","Levine","194.7424","free","Portland-South Portland, ME","243","Hard Times (LP Version)","80","1.54136E+12"
"Justin Bieber","Tegan","F","1","Levine","220.89098","free","Portland-South Portland, ME","243","Somebody To Love","80","1.54136E+12"
"David Byrne & Fatboy Slim feat. Charmaine Clamor","Tegan","F","2","Levine","238.65424","free","Portland-South Portland, ME","243","Walk Like A Woman (Album Version)","80","1.54136E+12"
"Taylor Swift","Tegan","F","3","Levine","230.47791","free","Portland-South Portland, ME","243","You Belong With Me","80","1.54136E+12"
"Ottmar Liebert","Tegan","F","4","Levine","174.54975","free","Portland-South Portland, ME","243","Festival (Of 7 Lights)","80","1.54136E+12"
"The Roots","Jacob","M","0","Klein","285.6224","paid","Tampa-St. Petersburg-Clearwater, FL","72","Dynamite!","73","1.54136E+12"
"Foo Fighters","Jacob","M","1","Klein","235.28444","paid","Tampa-St. Petersburg-Clearwater, FL","72","Learn To Fly","73","1.54136E+12"
"El Hombre Burbuja","Jacob","M","2","Klein","161.33179","paid","Tampa-St. Petersburg-Clearwater, FL","72","Buzos (En La Luna)","73","1.54136E+12"
"Rock Kills Kid","Jacob","M","3","Klein","271.38567","paid","Tampa-St. Petersburg-Clearwater, FL","72","Back To Life (Album Version)","73","1.54136E+12"
"Manu Chao","Jacob","M","4","Klein","288.15628","paid","Tampa-St. Petersburg-Clearwater, FL","72","Me Quedo Contigo [Si Me Das A Elegir]","73","1.54136E+12"
"B.o.B","Jacob","M","5","Klein","269.63546","paid","Tampa-St. Petersburg-Clearwater, FL","72","Nothin' On You [feat. Bruno Mars] (Album Version)","73","1.54136E+12"
"Baby Boy Da Prince / Mannie Fresh","Jacob","M","6","Klein","235.2322","paid","Tampa-St. Petersburg-Clearwater, FL","72","Naw Meen","73","1.54136E+12"
"Gerry Rafferty","Jacob","M","7","Klein","224.39138","paid","Tampa-St. Petersburg-Clearwater, FL","72","Don't Close The Door","73","1.54136E+12"
"the bird and the bee","Jacob","M","10","Klein","165.642","paid","Tampa-St. Petersburg-Clearwater, FL","72","Again & Again","73","1.54136E+12"
"Blur","Jacob","M","11","Klein","361.58649","paid","Tampa-St. Petersburg-Clearwater, FL","72","Sing","73","1.54136E+12"
"Puerto Rican Power","Jacob","M","12","Klein","305.44934","paid","Tampa-St. Petersburg-Clearwater, FL","72","Juguete De Nadie","73","1.54136E+12"
"Hercules And Love Affair","Jacob","M","13","Klein","471.74485","paid","Tampa-St. Petersburg-Clearwater, FL","72","Blind (Frankie Knuckles Remix)","73","1.54136E+12"
"BeyoncÃÂ©","Jacob","M","14","Klein","235.67628","paid","Tampa-St. Petersburg-Clearwater, FL","72","Kitty Kat","73","1.54136E+12"
"Burt Bacharach","Jacob","M","15","Klein","200.54159","paid","Tampa-St. Petersburg-Clearwater, FL","72","Pacific Coast Highway","73","1.54136E+12"
"Common","Jacob","M","16","Klein","144.16934","paid","Tampa-St. Petersburg-Clearwater, FL","72","Be (Intro)","73","1.54136E+12"
"Ra Ra Riot","Jacob","M","17","Klein","152.71138","paid","Tampa-St. Petersburg-Clearwater, FL","72","Can You Tell","73","1.54136E+12"
"Flyleaf","Jacob","M","18","Klein","167.8624","paid","Tampa-St. Petersburg-Clearwater, FL","72","There For You","73","1.54136E+12"
"Neil Young","Jacob","M","19","Klein","414.69342","paid","Tampa-St. Petersburg-Clearwater, FL","72","Danger Bird (Album Version)","73","1.54136E+12"
"A Day To Remember","Jacob","M","20","Klein","87.50975","paid","Tampa-St. Petersburg-Clearwater, FL","72","You Already Know What You Are","73","1.54136E+12"
"Del Tha Funkee Homosapien","Jacob","M","21","Klein","199.07873","paid","Tampa-St. Petersburg-Clearwater, FL","72","Sleepin' On My Couch","73","1.54136E+12"
"Leopoldo Federico","Jacob","M","22","Klein","205.73995","paid","Tampa-St. Petersburg-Clearwater, FL","72","La Cachila","73","1.54136E+12"
"Moose","Jacob","M","23","Klein","490.21342","paid","Tampa-St. Petersburg-Clearwater, FL","72","Do You Remember","73","1.54136E+12"
"Wyclef Jean","Jacob","M","24","Klein","242.07628","paid","Tampa-St. Petersburg-Clearwater, FL","72","Knockin' On Heaven's Door","73","1.54136E+12"
"Alvin And The Chipmunks","Jacob","M","25","Klein","166.47791","paid","Tampa-St. Petersburg-Clearwater, FL","72","Coast 2 Coast","73","1.54136E+12"
"Anthrax","Jacob","M","26","Klein","458.23955","paid","Tampa-St. Petersburg-Clearwater, FL","72","Who Cares Wins","73","1.54136E+12"
"Beatsteaks","Jacob","M","27","Klein","177.8673","paid","Tampa-St. Petersburg-Clearwater, FL","72","Jane Became Insane","73","1.54137E+12"
"Nouvelle Vague","Anabelle","F","0","Simpson","132.70159","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","249","Too Drunk Too F****","69","1.54137E+12"
"Mastodon","Anabelle","F","1","Simpson","218.87955","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","249","Divinations (Album Version)","69","1.54137E+12"
"The Killers","Anabelle","F","2","Simpson","245.99465","free","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","249","Sam's Town","69","1.54137E+12"
"Alanis Morissette","Stefany","F","0","White","175.82975","free","Lubbock, TX","186","Right Through You (LP Version)","83","1.54138E+12"
"Des'ree","Kaylee","F","1","Summers","246.30812","free","Phoenix-Mesa-Scottsdale, AZ","139","You Gotta Be","8","1.54111E+12"
"Mr Oizo","Kaylee","F","3","Summers","144.03873","free","Phoenix-Mesa-Scottsdale, AZ","139","Flat 55","8","1.54111E+12"
"Tamba Trio","Kaylee","F","4","Summers","177.18812","free","Phoenix-Mesa-Scottsdale, AZ","139","Quem Quiser Encontrar O Amor","8","1.54111E+12"
"The Mars Volta","Kaylee","F","5","Summers","380.42077","free","Phoenix-Mesa-Scottsdale, AZ","139","Eriatarka","8","1.54111E+12"
"Infected Mushroom","Kaylee","F","6","Summers","440.2673","free","Phoenix-Mesa-Scottsdale, AZ","139","Becoming Insane","8","1.54111E+12"
"Blue October / Imogen Heap","Kaylee","F","7","Summers","241.3971","free","Phoenix-Mesa-Scottsdale, AZ","139","Congratulations","8","1.54111E+12"
"Girl Talk","Kaylee","F","8","Summers","160.15628","free","Phoenix-Mesa-Scottsdale, AZ","139","Once again","8","1.54111E+12"
"Black Eyed Peas","Sylvie","F","0","Cruz","214.93506","free","Washington-Arlington-Alexandria, DC-VA-MD-WV","9","Pump It","10","1.54111E+12"
"Fall Out Boy","Ryan","M","1","Smith","200.72444","free","San Jose-Sunnyvale-Santa Clara, CA","169","Nobody Puts Baby In The Corner","26","1.54111E+12"
"M.I.A.","Ryan","M","2","Smith","233.7171","free","San Jose-Sunnyvale-Santa Clara, CA","169","Mango Pickle Down River (With The Wilcannia Mob)","26","1.54111E+12"
"Survivor","Jayden","M","0","Fox","245.36771","free","New Orleans-Metairie, LA","100","Eye Of The Tiger","101","1.54111E+12"
"Dee Dee Bridgewater","Lily","F","38","Koch","318.64118","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","La Vie En Rose","15","1.54285E+12"
"Tim O'brien","Lily","F","39","Koch","176.14322","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Think About Last Night","15","1.54285E+12"
"Nirvana","Lily","F","40","Koch","215.11791","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Love Buzz","15","1.54285E+12"
"Weezer","Lily","F","41","Koch","479.32036","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Only In Dreams","15","1.54285E+12"
"Nightwish","Lily","F","42","Koch","286.1971","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","She Is My Sin","15","1.54285E+12"
"California Swag District","Lily","F","43","Koch","239.17669","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Teach Me How To Dougie","15","1.54285E+12"
"Miike Snow","Lily","F","44","Koch","385.35791","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Silvia","15","1.54285E+12"
"Katy Perry","Lily","F","45","Koch","179.40853","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","I Kissed A Girl","15","1.54285E+12"
"Sikth","Lily","F","46","Koch","250.53995","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Peep Show","15","1.54285E+12"
"Lily Allen","Lily","F","47","Koch","199.88853","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Not Fair","15","1.54285E+12"
"The Presidents of the United States of America","Lily","F","48","Koch","495.77751","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Lump","15","1.54285E+12"
"Wordsworth","Lily","F","49","Koch","253.1522","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Right Now (Produced by Ayatollah)","15","1.54285E+12"
"Rihanna","Lily","F","50","Koch","229.04118","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Take A Bow","15","1.54285E+12"
"Tomas Bodin","Lily","F","51","Koch","396.53832","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Back To The African Garden","15","1.54285E+12"
"Black Eyed Peas","Lily","F","52","Koch","326.86975","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","My Humps","15","1.54285E+12"
"Carolina Liar","Lily","F","53","Koch","240.45669","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Show Me What I'm Looking For (Album Version)","15","1.54285E+12"
"Kansas","Lily","F","54","Koch","202.29179","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Dust in The Wind","15","1.54285E+12"
"Onar","Lily","F","55","Koch","306.6771","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Xehasmeni Melodia","15","1.54285E+12"
"Live","Lily","F","56","Koch","286.98077","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Lakini's Juice","15","1.54285E+12"
"Abstract Rude","Lily","F","57","Koch","196.85832","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Nuff Fire","15","1.54285E+12"
"Johnny Horton","Lily","F","58","Koch","131.81342","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Mean Mean Son Of A Gun","15","1.54285E+12"
"The Men They Couldn't Hang","Lily","F","59","Koch","251.14077","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Ironmasters","15","1.54285E+12"
"Rilo Kiley","Lily","F","60","Koch","234.03057","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","The Absence Of God (Album Version)","15","1.54285E+12"
"Shwayze","Lily","F","61","Koch","201.63873","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Lost My Mind","15","1.54285E+12"
"Bram Vermeulen","Lily","F","62","Koch","251.42812","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Mamma","15","1.54285E+12"
"Death Cab for Cutie","Lily","F","63","Koch","189.3873","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","I Will Follow You into the Dark (Album Version)","15","1.54285E+12"
"Dwight Yoakam","Lily","F","64","Koch","239.3073","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","You're The One","15","1.54285E+12"
"Jadakiss / Ghostface Killah / Raekwon","Lily","F","65","Koch","173.76608","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Cartel Gathering","15","1.54285E+12"
"Rosana","Lily","F","66","Koch","256.31302","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Si tu no estas","15","1.54285E+12"
"The Killers","Lily","F","67","Koch","230.39955","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","The Ballad of Michael Valentine","15","1.54285E+12"
"Alliance Ethnik","Lily","F","68","Koch","195.94404","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","SinceritÃÂ© Et Jalousie","15","1.54285E+12"
"Enya","Lily","F","69","Koch","289.802","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","China Roses","15","1.54285E+12"
"Aya RL","Lily","F","70","Koch","225.43628","paid","Chicago-Naperville-Elgin, IL-IN-WI","818","Jazz","15","1.54285E+12"
"Clor","Ryan","M","0","Smith","227.68281","free","San Jose-Sunnyvale-Santa Clara, CA","820","Love + Pain","26","1.54286E+12"
"Alejandro Fernandez","Ryan","M","1","Smith","262.84363","free","San Jose-Sunnyvale-Santa Clara, CA","820","Solitario Y Solo","26","1.54286E+12"
"Yonder Mountain String Band","Ryan","M","2","Smith","152.18893","free","San Jose-Sunnyvale-Santa Clara, CA","820","Midwest Gospel Radio","26","1.54286E+12"
"K'Naan","Ava","F","0","Robinson","220.49914","free","New Haven-Milford, CT","824","Wavin'  Flag","50","1.54287E+12"
"Cradle Of Filth","Kate","F","0","Harrell","453.09342","paid","Lansing-East Lansing, MI","828","Her Ghost In The Fog","97","1.54288E+12"
